OrderID,OrderDate,CustomerID,CustomerName,CustomerSegment,Product,Category,SubCategory,Region,Country,SalesChannel,SalesRep,Quantity,UnitPrice,Discount,Sales,Cost,Profit,Returned,Satisfaction,Campaign
16,2025-11-05,1119,Customer 1119,Business,Keyboard Accessory,Accessory,Keyboard,West,France,Retail,Nowak,1,1218.59,0.0,1218.59,690.17,528.42,0,2,Spring
17,2024-07-15,1046,Customer 1046,Consumer,iPhone Phone,Phone,iPhone,South,Italy,Retail,Garcia,8,464.66,0.0,3717.28,2489.26,1228.02,1,2,None
18,2025-10-29,1104,Customer 1104,Business,Ultrabook Laptop,Laptop,Ultrabook,South,Italy,Online,Dubois,8,400.47,0.15,2723.2,2161.29,561.91,0,5,None
19,2025-02-03,1178,Customer 1178,Consumer,Pro Tablet,Tablet,Pro,East,Poland,Retail,Nowak,8,295.54,0.1,2127.89,1295.42,832.47,0,2,Christmas
20,2024-11-17,1235,Customer 1235,Consumer,Ultrabook Laptop,Laptop,Ultrabook,West,France,Wholesale,Rossi,3,121.25,0.2,291.0,166.34,124.66,0,2,BlackFriday
21,2024-03-10,1063,Customer 1063,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Wholesale,Rossi,1,1122.5,0.15,954.12,694.11,260.01,1,4,Summer
22,2024-07-28,1033,Customer 1033,Consumer,Standard Tablet,Tablet,Standard,East,Poland,Retail,Nowak,5,833.86,0.0,4169.3,2303.6,1865.7,1,2,None
23,2025-07-04,1225,Customer 1225,Consumer,iPhone Phone,Phone,iPhone,South,Italy,Retail,Miller,4,677.76,0.05,2575.49,1721.23,854.26,1,4,BlackFriday
24,2025-10-31,1067,Customer 1067,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Online,Miller,2,1341.5,0.05,2548.85,1589.29,959.56,1,3,Christmas
25,2024-12-17,1231,Customer 1231,Consumer,iPhone Phone,Phone,iPhone,West,France,Retail,Miller,2,1149.03,0.1,2068.25,1162.16,906.09,0,3,Christmas
26,2024-09-25,1002,Customer 1002,Business,iPhone Phone,Phone,iPhone,West,France,Wholesale,Miller,2,1702.19,0.05,3234.16,2255.21,978.95,0,3,BackToSchool
27,2024-05-10,1230,Customer 1230,Business,Gaming Laptop,Laptop,Gaming,East,Poland,Online,Garcia,4,1234.08,0.0,4936.32,3186.36,1749.96,1,5,BlackFriday
28,2024-06-07,1006,Customer 1006,Consumer,Android Phone,Phone,Android,South,Italy,Retail,Schmidt,6,1412.65,0.15,7204.52,5523.01,1681.51,0,4,Spring
29,2025-12-19,1056,Customer 1056,Business,Gaming Laptop,Laptop,Gaming,North,Germany,Retail,Schmidt,8,642.39,0.05,4882.16,2979.04,1903.12,0,5,Summer
30,2024-10-12,1130,Customer 1130,Consumer,Gaming Laptop,Laptop,Gaming,East,Poland,Wholesale,Dubois,6,1691.84,0.0,10151.04,7986.84,2164.2,0,3,BlackFriday
31,2024-09-28,1186,Customer 1186,Consumer,Ultrabook Laptop,Laptop,Ultrabook,West,France,Retail,Garcia,7,1099.05,0.2,6154.68,3577.25,2577.43,1,3,Summer
32,2024-02-15,1110,Customer 1110,Business,Mouse Accessory,Accessory,Mouse,South,Italy,Retail,Miller,6,1129.22,0.0,6775.32,5043.1,1732.22,0,4,Christmas
33,2025-02-22,1032,Customer 1032,Business,Pro Tablet,Tablet,Pro,East,Poland,Wholesale,Schmidt,7,1203.57,0.15,7161.24,5248.3,1912.94,0,4,BackToSchool
34,2025-07-15,1110,Customer 1110,Business,Gaming Laptop,Laptop,Gaming,East,Poland,Online,Rossi,6,847.68,0.15,4323.17,3166.37,1156.8,1,5,Christmas
35,2024-06-22,1209,Customer 1209,Business,Gaming Laptop,Laptop,Gaming,East,Poland,Online,Schmidt,5,419.86,0.05,1994.34,1176.23,818.11,0,3,BackToSchool
36,2025-09-17,1147,Customer 1147,Consumer,Gaming Laptop,Laptop,Gaming,West,France,Wholesale,Schmidt,7,899.99,0.05,5984.93,3530.18,2454.75,0,2,BackToSchool
37,2024-08-12,1063,Customer 1063,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Wholesale,Miller,8,257.34,0.15,1749.91,1277.86,472.05,1,4,BackToSchool
38,2025-09-19,1190,Customer 1190,Consumer,Headset Accessory,Accessory,Headset,West,France,Online,Dubois,8,481.36,0.05,3658.34,2841.66,816.68,0,5,Christmas
39,2024-09-01,1073,Customer 1073,Consumer,Pro Tablet,Tablet,Pro,North,Germany,Wholesale,Schmidt,5,617.81,0.2,2471.24,1412.95,1058.29,0,3,BackToSchool
40,2025-12-11,1104,Customer 1104,Business,Android Phone,Phone,Android,North,Germany,Retail,Garcia,8,760.08,0.05,5776.61,4476.18,1300.43,0,2,BlackFriday
41,2025-01-24,1192,Customer 1192,Consumer,Mouse Accessory,Accessory,Mouse,East,Poland,Retail,Dubois,7,978.03,0.2,5476.97,4195.16,1281.81,0,5,Spring
42,2024-10-06,1086,Customer 1086,Business,Keyboard Accessory,Accessory,Keyboard,North,Germany,Retail,Nowak,7,1309.04,0.15,7788.79,6217.61,1571.18,1,2,BackToSchool
43,2025-08-29,1221,Customer 1221,Business,Ultrabook Laptop,Laptop,Ultrabook,West,France,Online,Dubois,3,109.51,0.15,279.25,178.27,100.98,0,4,Summer
44,2025-01-23,1120,Customer 1120,Consumer,Pro Tablet,Tablet,Pro,East,Poland,Online,Miller,1,1799.84,0.1,1619.86,988.99,630.87,0,2,None
45,2024-09-10,1032,Customer 1032,Business,Android Phone,Phone,Android,South,Italy,Online,Dubois,2,1023.87,0.05,1945.35,1314.2,631.15,0,4,Spring
46,2025-09-12,1148,Customer 1148,Consumer,Ultrabook Laptop,Laptop,Ultrabook,East,Poland,Online,Miller,5,1044.92,0.15,4440.91,2918.11,1522.8,0,2,BlackFriday
47,2025-12-08,1153,Customer 1153,Consumer,Android Phone,Phone,Android,East,Poland,Wholesale,Miller,1,638.02,0.15,542.32,395.14,147.18,0,4,None
48,2025-03-06,1162,Customer 1162,Consumer,Mouse Accessory,Accessory,Mouse,West,France,Retail,Dubois,3,795.17,0.2,1908.41,1547.11,361.3,0,5,BackToSchool
49,2025-03-22,1071,Customer 1071,Business,Pro Tablet,Tablet,Pro,South,Italy,Online,Dubois,4,1355.85,0.2,4338.72,3101.27,1237.45,0,4,None
50,2025-05-21,1090,Customer 1090,Consumer,Standard Tablet,Tablet,Standard,West,France,Online,Garcia,6,517.79,0.2,2485.39,1837.5,647.89,0,2,BlackFriday
51,2024-07-14,1142,Customer 1142,Consumer,Ultrabook Laptop,Laptop,Ultrabook,West,France,Retail,Schmidt,8,1169.71,0.15,7954.03,5337.21,2616.82,0,2,Summer
52,2024-08-14,1169,Customer 1169,Consumer,Headset Accessory,Accessory,Headset,South,Italy,Retail,Rossi,6,862.4,0.2,4139.52,2660.94,1478.58,1,4,Summer
53,2025-12-20,1059,Customer 1059,Business,Keyboard Accessory,Accessory,Keyboard,East,Poland,Retail,Miller,4,581.68,0.2,1861.38,1501.64,359.74,0,3,Spring
54,2025-05-10,1075,Customer 1075,Consumer,Pro Tablet,Tablet,Pro,North,Germany,Online,Schmidt,6,339.41,0.0,2036.46,1509.35,527.11,0,4,None
55,2024-02-25,1223,Customer 1223,Consumer,Standard Tablet,Tablet,Standard,West,France,Online,Miller,5,855.53,0.15,3636.0,2334.28,1301.72,0,4,BackToSchool
56,2024-04-26,1147,Customer 1147,Consumer,Gaming Laptop,Laptop,Gaming,West,France,Online,Nowak,1,290.07,0.2,232.06,187.1,44.96,0,3,None
57,2025-07-25,1097,Customer 1097,Consumer,Headset Accessory,Accessory,Headset,South,Italy,Wholesale,Dubois,8,549.29,0.2,3515.46,2873.22,642.24,0,2,BlackFriday
58,2024-04-11,1020,Customer 1020,Business,Android Phone,Phone,Android,East,Poland,Wholesale,Schmidt,4,329.39,0.0,1317.56,780.34,537.22,0,5,Christmas
59,2025-08-31,1073,Customer 1073,Consumer,Keyboard Accessory,Accessory,Keyboard,North,Germany,Online,Nowak,5,1271.32,0.15,5403.11,3075.55,2327.56,0,4,Christmas
60,2025-08-26,1057,Customer 1057,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Wholesale,Nowak,3,1636.97,0.05,4665.36,2655.9,2009.46,0,4,BlackFriday
61,2025-08-05,1176,Customer 1176,Business,Pro Tablet,Tablet,Pro,North,Germany,Retail,Garcia,7,1697.96,0.2,9508.58,6616.02,2892.56,0,2,BlackFriday
62,2024-02-10,1064,Customer 1064,Consumer,Headset Accessory,Accessory,Headset,East,Poland,Wholesale,Miller,2,427.49,0.2,683.98,484.62,199.36,0,4,BlackFriday
63,2024-02-11,1046,Customer 1046,Consumer,iPhone Phone,Phone,iPhone,West,France,Retail,Rossi,7,1149.92,0.15,6842.02,5553.29,1288.73,0,4,BackToSchool
64,2024-12-07,1105,Customer 1105,Consumer,Standard Tablet,Tablet,Standard,South,Italy,Retail,Nowak,8,533.03,0.15,3624.6,2789.72,834.88,1,2,BackToSchool
65,2024-03-31,1248,Customer 1248,Business,Pro Tablet,Tablet,Pro,East,Poland,Online,Dubois,1,1190.64,0.2,952.51,642.69,309.82,0,3,BlackFriday
66,2025-01-05,1052,Customer 1052,Consumer,Headset Accessory,Accessory,Headset,West,France,Online,Garcia,3,1671.26,0.15,4261.71,3357.5,904.21,0,2,None
67,2025-10-07,1003,Customer 1003,Consumer,Android Phone,Phone,Android,East,Poland,Wholesale,Rossi,7,185.91,0.0,1301.37,877.89,423.48,0,3,BackToSchool
68,2024-10-25,1062,Customer 1062,Business,Pro Tablet,Tablet,Pro,West,France,Retail,Dubois,3,702.78,0.2,1686.67,1159.12,527.55,0,2,Summer
69,2025-02-28,1185,Customer 1185,Business,Pro Tablet,Tablet,Pro,North,Germany,Retail,Garcia,8,1560.16,0.15,10609.09,7377.74,3231.35,0,4,BlackFriday
70,2025-07-10,1178,Customer 1178,Consumer,Keyboard Accessory,Accessory,Keyboard,East,Poland,Online,Schmidt,7,435.74,0.15,2592.65,1456.51,1136.14,0,5,BackToSchool
71,2025-11-10,1128,Customer 1128,Business,iPhone Phone,Phone,iPhone,North,Germany,Online,Rossi,6,1568.07,0.15,7997.16,4613.74,3383.42,0,2,Christmas
72,2024-05-27,1120,Customer 1120,Consumer,Headset Accessory,Accessory,Headset,South,Italy,Online,Garcia,6,1129.4,0.15,5759.94,4178.58,1581.36,0,5,Summer
73,2025-10-03,1017,Customer 1017,Business,Headset Accessory,Accessory,Headset,North,Germany,Wholesale,Schmidt,5,1795.42,0.0,8977.1,5989.27,2987.83,0,2,BackToSchool
74,2024-06-19,1203,Customer 1203,Business,Standard Tablet,Tablet,Standard,North,Germany,Retail,Miller,5,658.06,0.15,2796.75,1648.14,1148.61,1,5,BlackFriday
75,2025-11-29,1156,Customer 1156,Consumer,Android Phone,Phone,Android,South,Italy,Online,Dubois,4,905.85,0.2,2898.72,1706.31,1192.41,0,4,BackToSchool
76,2024-09-18,1139,Customer 1139,Consumer,Gaming Laptop,Laptop,Gaming,East,Poland,Wholesale,Schmidt,2,806.28,0.1,1451.3,1185.23,266.07,0,5,Christmas
77,2024-09-13,1218,Customer 1218,Business,Keyboard Accessory,Accessory,Keyboard,South,Italy,Retail,Dubois,2,442.23,0.2,707.57,457.74,249.83,0,4,None
78,2025-11-05,1221,Customer 1221,Business,Keyboard Accessory,Accessory,Keyboard,North,Germany,Wholesale,Nowak,1,1640.9,0.15,1394.77,1080.76,314.01,0,3,BlackFriday
79,2024-12-26,1193,Customer 1193,Consumer,Android Phone,Phone,Android,East,Poland,Wholesale,Nowak,3,1138.28,0.0,3414.84,2163.0,1251.84,0,2,BlackFriday
80,2025-01-08,1191,Customer 1191,Business,Android Phone,Phone,Android,East,Poland,Retail,Dubois,3,377.41,0.2,905.78,712.53,193.25,0,4,Spring
81,2024-09-20,1119,Customer 1119,Business,Keyboard Accessory,Accessory,Keyboard,East,Poland,Online,Miller,3,1362.39,0.05,3882.81,3037.28,845.53,0,4,None
82,2025-02-08,1094,Customer 1094,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Retail,Nowak,5,1060.52,0.1,4772.34,2764.39,2007.95,0,5,None
83,2025-09-26,1210,Customer 1210,Consumer,Standard Tablet,Tablet,Standard,North,Germany,Wholesale,Dubois,5,1175.65,0.0,5878.25,3454.88,2423.37,0,4,BackToSchool
84,2024-04-28,1116,Customer 1116,Business,Ultrabook Laptop,Laptop,Ultrabook,South,Italy,Retail,Garcia,7,1065.47,0.05,7085.38,5590.8,1494.58,0,5,BlackFriday
85,2025-02-21,1113,Customer 1113,Business,Standard Tablet,Tablet,Standard,East,Poland,Online,Dubois,4,1542.7,0.0,6170.8,5028.28,1142.52,0,4,None
86,2025-02-11,1023,Customer 1023,Business,Standard Tablet,Tablet,Standard,North,Germany,Retail,Nowak,4,1162.23,0.2,3719.14,3020.67,698.47,0,4,Spring
87,2024-05-08,1055,Customer 1055,Consumer,Android Phone,Phone,Android,South,Italy,Wholesale,Schmidt,6,1398.38,0.2,6712.22,3696.86,3015.36,0,3,BlackFriday
88,2024-09-13,1003,Customer 1003,Consumer,Android Phone,Phone,Android,North,Germany,Online,Garcia,4,1068.16,0.0,4272.64,2550.96,1721.68,0,3,Christmas
89,2025-03-07,1199,Customer 1199,Consumer,Ultrabook Laptop,Laptop,Ultrabook,West,France,Retail,Garcia,2,824.57,0.05,1566.68,1261.59,305.09,0,4,BackToSchool
90,2025-10-20,1109,Customer 1109,Consumer,Ultrabook Laptop,Laptop,Ultrabook,West,France,Retail,Nowak,2,892.68,0.15,1517.56,864.77,652.79,0,4,BlackFriday
91,2024-05-31,1162,Customer 1162,Consumer,Ultrabook Laptop,Laptop,Ultrabook,East,Poland,Wholesale,Rossi,6,698.01,0.2,3350.45,2322.7,1027.75,0,5,None
92,2025-12-19,1227,Customer 1227,Business,Ultrabook Laptop,Laptop,Ultrabook,West,France,Retail,Schmidt,7,623.3,0.15,3708.63,2439.01,1269.62,0,4,BackToSchool
93,2024-11-16,1236,Customer 1236,Business,Pro Tablet,Tablet,Pro,South,Italy,Wholesale,Dubois,2,182.38,0.0,364.76,209.8,154.96,0,4,Spring
94,2025-07-23,1090,Customer 1090,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Retail,Nowak,7,1565.2,0.0,10956.4,8890.76,2065.64,1,4,Summer
95,2024-04-16,1216,Customer 1216,Consumer,Android Phone,Phone,Android,West,France,Online,Miller,6,1524.76,0.1,8233.7,4783.94,3449.76,0,3,BackToSchool
96,2025-07-28,1069,Customer 1069,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Online,Nowak,5,1660.34,0.1,7471.53,4121.66,3349.87,0,5,None
97,2024-05-25,1107,Customer 1107,Business,Ultrabook Laptop,Laptop,Ultrabook,South,Italy,Retail,Dubois,6,300.19,0.1,1621.03,1207.39,413.64,1,2,None
98,2024-06-08,1113,Customer 1113,Business,Android Phone,Phone,Android,North,Germany,Retail,Nowak,7,884.48,0.15,5262.66,3482.98,1779.68,0,2,Summer
99,2025-03-16,1170,Customer 1170,Business,Gaming Laptop,Laptop,Gaming,West,France,Wholesale,Garcia,1,412.52,0.2,330.02,186.39,143.63,0,4,Spring
100,2024-05-20,1001,Customer 1001,Consumer,Pro Tablet,Tablet,Pro,East,Poland,Online,Dubois,7,332.74,0.15,1979.8,1373.58,606.22,0,4,None
101,2025-02-10,1235,Customer 1235,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Retail,Miller,6,1044.85,0.2,5015.28,3306.04,1709.24,0,4,None
102,2025-02-18,1117,Customer 1117,Consumer,Gaming Laptop,Laptop,Gaming,South,Italy,Wholesale,Nowak,6,176.87,0.0,1061.22,653.39,407.83,1,5,BlackFriday
103,2024-03-21,1085,Customer 1085,Consumer,Keyboard Accessory,Accessory,Keyboard,East,Poland,Online,Schmidt,2,928.66,0.0,1857.32,1287.61,569.71,0,4,Summer
104,2025-10-22,1065,Customer 1065,Business,Android Phone,Phone,Android,North,Germany,Online,Schmidt,3,1092.27,0.0,3276.81,1958.97,1317.84,0,5,BlackFriday
105,2025-08-16,1080,Customer 1080,Business,Headset Accessory,Accessory,Headset,East,Poland,Wholesale,Schmidt,8,141.55,0.15,962.54,693.49,269.05,0,2,Summer
106,2025-06-03,1009,Customer 1009,Consumer,Gaming Laptop,Laptop,Gaming,West,France,Retail,Miller,6,1500.42,0.0,9002.52,6518.36,2484.16,0,5,BackToSchool
107,2025-08-17,1154,Customer 1154,Consumer,Gaming Laptop,Laptop,Gaming,South,Italy,Retail,Dubois,3,1724.75,0.15,4398.11,2541.87,1856.24,0,2,BlackFriday
108,2025-10-23,1112,Customer 1112,Consumer,Android Phone,Phone,Android,South,Italy,Wholesale,Dubois,3,667.74,0.1,1802.9,1180.18,622.72,0,2,Christmas
109,2025-10-24,1142,Customer 1142,Consumer,Standard Tablet,Tablet,Standard,East,Poland,Online,Nowak,7,525.78,0.2,2944.37,2313.64,630.73,0,2,BlackFriday
110,2025-11-10,1178,Customer 1178,Consumer,iPhone Phone,Phone,iPhone,East,Poland,Wholesale,Nowak,7,249.53,0.0,1746.71,1106.69,640.02,0,4,Spring
111,2025-11-17,1092,Customer 1092,Business,Gaming Laptop,Laptop,Gaming,East,Poland,Online,Garcia,3,1713.08,0.1,4625.32,3727.41,897.91,0,3,Spring
112,2024-05-20,1129,Customer 1129,Consumer,Android Phone,Phone,Android,East,Poland,Online,Rossi,1,1198.23,0.2,958.58,561.14,397.44,0,3,Spring
113,2024-07-04,1093,Customer 1093,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Retail,Nowak,4,1745.87,0.2,5586.78,3502.52,2084.26,0,3,BlackFriday
114,2024-09-01,1173,Customer 1173,Business,Pro Tablet,Tablet,Pro,South,Italy,Retail,Rossi,8,841.79,0.1,6060.89,4606.84,1454.05,1,5,Spring
115,2024-07-23,1123,Customer 1123,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Wholesale,Garcia,2,1286.29,0.2,2058.06,1604.91,453.15,0,2,Spring
116,2024-10-06,1023,Customer 1023,Business,Headset Accessory,Accessory,Headset,South,Italy,Retail,Schmidt,8,1594.64,0.0,12757.12,8445.5,4311.62,0,4,Spring
117,2025-01-30,1081,Customer 1081,Consumer,Gaming Laptop,Laptop,Gaming,South,Italy,Online,Miller,6,1428.66,0.05,8143.36,4563.07,3580.29,0,3,Christmas
118,2025-04-25,1004,Customer 1004,Consumer,Headset Accessory,Accessory,Headset,North,Germany,Online,Garcia,4,1506.23,0.2,4819.94,3874.56,945.38,1,5,None
119,2024-10-22,1061,Customer 1061,Consumer,iPhone Phone,Phone,iPhone,North,Germany,Online,Dubois,8,131.8,0.15,896.24,637.33,258.91,0,3,Christmas
120,2024-05-27,1090,Customer 1090,Consumer,Pro Tablet,Tablet,Pro,North,Germany,Wholesale,Schmidt,7,353.42,0.0,2473.94,1710.34,763.6,0,2,BlackFriday
121,2025-07-11,1162,Customer 1162,Consumer,Gaming Laptop,Laptop,Gaming,West,France,Online,Dubois,6,471.5,0.0,2829.0,1828.71,1000.29,0,4,Spring
122,2025-11-03,1090,Customer 1090,Consumer,Gaming Laptop,Laptop,Gaming,South,Italy,Online,Rossi,6,1468.05,0.05,8367.88,6478.44,1889.44,0,5,Christmas
123,2024-07-05,1075,Customer 1075,Consumer,Android Phone,Phone,Android,West,France,Online,Schmidt,1,1428.17,0.0,1428.17,907.19,520.98,0,5,BlackFriday
124,2025-04-29,1091,Customer 1091,Consumer,Standard Tablet,Tablet,Standard,South,Italy,Retail,Miller,6,506.33,0.1,2734.18,1826.37,907.81,0,5,BackToSchool
125,2024-12-13,1236,Customer 1236,Business,iPhone Phone,Phone,iPhone,West,France,Retail,Rossi,5,1446.04,0.15,6145.67,3511.08,2634.59,1,3,BlackFriday
126,2024-10-27,1169,Customer 1169,Consumer,Standard Tablet,Tablet,Standard,North,Germany,Retail,Garcia,5,813.73,0.15,3458.35,2057.7,1400.65,0,4,BackToSchool
127,2024-02-13,1250,Customer 1250,Consumer,Pro Tablet,Tablet,Pro,East,Poland,Wholesale,Miller,2,1214.71,0.15,2065.01,1338.32,726.69,0,2,Spring
128,2025-09-14,1060,Customer 1060,Consumer,Mouse Accessory,Accessory,Mouse,South,Italy,Online,Nowak,6,664.63,0.2,3190.22,1782.52,1407.7,0,5,Summer
129,2025-01-15,1093,Customer 1093,Consumer,Mouse Accessory,Accessory,Mouse,South,Italy,Wholesale,Dubois,6,1176.22,0.05,6704.45,5426.18,1278.27,0,3,BackToSchool
130,2025-06-14,1198,Customer 1198,Consumer,Headset Accessory,Accessory,Headset,North,Germany,Retail,Garcia,8,401.94,0.2,2572.42,1613.18,959.24,0,3,None
131,2024-05-18,1113,Customer 1113,Business,Gaming Laptop,Laptop,Gaming,South,Italy,Wholesale,Miller,6,1208.75,0.0,7252.5,5065.87,2186.63,0,4,Spring
132,2025-12-29,1051,Customer 1051,Consumer,iPhone Phone,Phone,iPhone,South,Italy,Online,Schmidt,4,1426.86,0.0,5707.44,3695.24,2012.2,1,4,BackToSchool
133,2025-07-18,1101,Customer 1101,Business,Android Phone,Phone,Android,North,Germany,Retail,Nowak,8,955.74,0.15,6499.03,5019.21,1479.82,0,3,Summer
134,2025-10-19,1132,Customer 1132,Consumer,Gaming Laptop,Laptop,Gaming,West,France,Wholesale,Garcia,3,1582.77,0.2,3798.65,2745.45,1053.2,0,3,BackToSchool
135,2025-05-29,1042,Customer 1042,Consumer,Ultrabook Laptop,Laptop,Ultrabook,South,Italy,Retail,Schmidt,6,1683.83,0.05,9597.83,6175.5,3422.33,1,4,None
136,2024-09-13,1077,Customer 1077,Business,iPhone Phone,Phone,iPhone,South,Italy,Wholesale,Rossi,2,914.58,0.05,1737.7,1233.4,504.3,1,3,Spring
137,2025-11-05,1011,Customer 1011,Business,Standard Tablet,Tablet,Standard,North,Germany,Online,Nowak,5,1179.01,0.2,4716.04,3124.27,1591.77,0,5,Christmas
138,2025-07-12,1206,Customer 1206,Business,Pro Tablet,Tablet,Pro,West,France,Online,Nowak,7,549.43,0.0,3846.01,2830.38,1015.63,0,5,BackToSchool
139,2025-05-10,1036,Customer 1036,Consumer,Mouse Accessory,Accessory,Mouse,East,Poland,Wholesale,Garcia,6,1326.88,0.1,7165.15,5827.78,1337.37,0,4,BlackFriday
140,2025-07-29,1031,Customer 1031,Consumer,Gaming Laptop,Laptop,Gaming,South,Italy,Retail,Garcia,8,461.3,0.0,3690.4,2080.14,1610.26,0,5,Spring
141,2024-06-12,1127,Customer 1127,Consumer,Pro Tablet,Tablet,Pro,South,Italy,Online,Rossi,8,907.79,0.1,6536.09,4472.58,2063.51,0,5,BlackFriday
142,2025-04-13,1012,Customer 1012,Consumer,Android Phone,Phone,Android,East,Poland,Online,Garcia,8,1083.58,0.15,7368.34,4621.07,2747.27,0,2,BackToSchool
143,2024-05-17,1011,Customer 1011,Business,Pro Tablet,Tablet,Pro,West,France,Retail,Dubois,1,1035.1,0.05,983.34,637.09,346.25,0,2,BackToSchool
144,2025-05-31,1174,Customer 1174,Consumer,Headset Accessory,Accessory,Headset,East,Poland,Wholesale,Rossi,2,249.02,0.0,498.04,326.89,171.15,0,4,Spring
145,2024-07-22,1009,Customer 1009,Consumer,Headset Accessory,Accessory,Headset,North,Germany,Online,Schmidt,6,1451.06,0.2,6965.09,4690.2,2274.89,1,3,Summer
146,2025-09-19,1189,Customer 1189,Consumer,Standard Tablet,Tablet,Standard,West,France,Wholesale,Garcia,6,923.02,0.2,4430.5,3073.58,1356.92,1,4,BackToSchool
147,2024-01-18,1149,Customer 1149,Business,Pro Tablet,Tablet,Pro,North,Germany,Retail,Garcia,1,1082.5,0.1,974.25,790.22,184.03,1,3,Christmas
148,2024-02-22,1210,Customer 1210,Consumer,Mouse Accessory,Accessory,Mouse,West,France,Online,Nowak,4,76.2,0.0,304.8,183.34,121.46,0,4,BackToSchool
149,2024-06-04,1128,Customer 1128,Business,Headset Accessory,Accessory,Headset,South,Italy,Retail,Rossi,8,1573.62,0.0,12588.96,9322.87,3266.09,1,3,BlackFriday
150,2024-11-28,1244,Customer 1244,Consumer,Headset Accessory,Accessory,Headset,West,France,Retail,Schmidt,8,1643.58,0.1,11833.78,8253.99,3579.79,0,5,Spring
151,2024-09-09,1197,Customer 1197,Business,Pro Tablet,Tablet,Pro,South,Italy,Retail,Garcia,4,1248.63,0.15,4245.34,2698.34,1547.0,0,4,Summer
152,2024-05-04,1074,Customer 1074,Business,Keyboard Accessory,Accessory,Keyboard,East,Poland,Online,Miller,5,1720.46,0.0,8602.3,5535.74,3066.56,0,4,Christmas
153,2025-05-05,1178,Customer 1178,Consumer,Android Phone,Phone,Android,East,Poland,Wholesale,Garcia,3,214.42,0.2,514.61,316.28,198.33,0,3,Christmas
